Date,BLS unemployment rate,Chicago Fed FCR
2008-01-01,5,NA
2008-02-01,4.9,NA
2008-03-01,5.1,NA
2008-04-01,5,NA
2008-05-01,5.4,NA
2008-06-01,5.6,NA
2008-07-01,5.8,6.3754080354125
2008-08-01,6.1,6.63205335416316
2008-09-01,6.1,6.94827760197104
2008-10-01,6.5,7.37549422417095
2008-11-01,6.8,7.85142241556486
2008-12-01,7.3,8.50625373616624
2009-01-01,7.8,8.75716678926798
2009-02-01,8.3,9.61247127266702
2009-03-01,8.7,10.1185236266397
2009-04-01,9,10.3018682809668
2009-05-01,9.4,10.2861094265152
2009-06-01,9.5,10.287809666702
2009-07-01,9.5,10.4197561678323
2009-08-01,9.6,10.0047491042768
2009-09-01,9.8,10.2210664311983
2009-10-01,10,10.3172261690555
2009-11-01,9.9,10.2128291436855
2009-12-01,9.9,9.92019468942627
2010-01-01,9.8,9.68814607817025
2010-02-01,9.8,9.59994360763454
2010-03-01,9.9,9.47453123197522
2010-04-01,9.9,9.24654039715473
2010-05-01,9.6,9.18127518245415
2010-06-01,9.4,9.05537234708828
2010-07-01,9.4,9.24550206986474
2010-08-01,9.5,9.50011698007392
2010-09-01,9.5,9.35459778419715
2010-10-01,9.4,9.3097452725512
2010-11-01,9.8,9.21254963279472
2010-12-01,9.3,9.07599773914076
2011-01-01,9.1,8.99983417171066
2011-02-01,9,8.76552829588713
2011-03-01,9,8.5596398184365
2011-04-01,9.1,8.36923985205961
2011-05-01,9,8.56876811912523
2011-06-01,9.1,8.62903773266317
2011-07-01,9,8.74339403392891
2011-08-01,9,8.87584430201328
2011-09-01,9,8.8877308709777
2011-10-01,8.8,8.76837330631528
2011-11-01,8.6,8.38416984109507
2011-12-01,8.5,8.09317196728525
2012-01-01,8.3,8.11299158024853
2012-02-01,8.3,7.69338484896171
2012-03-01,8.2,7.73541259714252
2012-04-01,8.2,7.63699023907864
2012-05-01,8.2,7.80017190441206
2012-06-01,8.2,7.8617239763611
2012-07-01,8.2,7.85956799699677
2012-08-01,8.1,7.81430430372401
2012-09-01,7.8,7.85113190771864
2012-10-01,7.8,7.53680539447646
2012-11-01,7.7,7.64786404062421
2012-12-01,7.9,7.22774047147686
2013-01-01,8,7.25945598891764
2013-02-01,7.7,7.22019873652114
2013-03-01,7.5,7.04949135724696
2013-04-01,7.6,7.22548034661668
2013-05-01,7.5,7.06968467778418
2013-06-01,7.5,7.06695638776111
2013-07-01,7.3,6.97002130635758
2013-08-01,7.2,6.8747038351169
2013-09-01,7.2,6.72040670011287
2013-10-01,7.2,6.95891824195387
2013-11-01,6.9,6.73669264855913
2013-12-01,6.7,6.63691989095995
2014-01-01,6.6,6.47748843248641
2014-02-01,6.7,6.46320625264844
2014-03-01,6.7,6.34352203532709
2014-04-01,6.2,6.24754191726886
2014-05-01,6.3,6.2235701455987
2014-06-01,6.1,6.07557297117845
2014-07-01,6.2,6.00183925661315
2014-08-01,6.1,5.89029944657217
2014-09-01,5.9,5.816213125169
2014-10-01,5.7,5.68894647673587
2014-11-01,5.8,5.66530625780965
2014-12-01,5.6,5.55400008627975
2015-01-01,5.7,5.42506230091871
2015-02-01,5.5,5.43800049544521
2015-03-01,5.4,5.3825373619525
2015-04-01,5.4,5.46530967679717
2015-05-01,5.6,5.33117819300846
2015-06-01,5.3,5.27699280428682
2015-07-01,5.2,5.3051530151467
2015-08-01,5.1,5.11795371967622
2015-09-01,5,5.05645021236781
2015-10-01,5,5.11914525976204
2015-11-01,5.1,5.11785967411919
2015-12-01,5,4.95784777202205
2016-01-01,4.8,5.04096171714007
2016-02-01,4.9,5.00616968894351
2016-03-01,5,4.9369533424347
2016-04-01,5.1,4.93664675165964
2016-05-01,4.8,4.96434688424228
2016-06-01,4.9,4.94632147172128
2016-07-01,4.8,4.84745204619864
2016-08-01,4.9,4.79215284773358
2016-09-01,5,4.79534024936249
2016-10-01,4.9,4.75566957604038
2016-11-01,4.7,4.62525735118659
2016-12-01,4.7,4.68292954991305
2017-01-01,4.7,4.64288399854992
2017-02-01,4.6,4.57729418841407
2017-03-01,4.4,4.48981525212911
2017-04-01,4.4,4.45753489157048
2017-05-01,4.4,4.38958399646314
2017-06-01,4.3,4.35824421707364
2017-07-01,4.3,4.35856326820421
2017-08-01,4.4,4.35929433349529
2017-09-01,4.3,4.40694414244135
2017-10-01,4.2,4.20146481855965
2017-11-01,4.2,4.19743807198227
2017-12-01,4.1,4.15953318367728
2018-01-01,4,4.15425302579159
2018-02-01,4.1,4.0892860601431
2018-03-01,4,4.04773998283774
2018-04-01,4,4.07918660447239
2018-05-01,3.8,3.91831267419461
2018-06-01,4,3.83725236672926
2018-07-01,3.8,3.79696129179724
2018-08-01,3.8,3.74312396579968
2018-09-01,3.7,3.69782403587735
2018-10-01,3.8,3.68971571488286
2018-11-01,3.8,3.69453751037994
2018-12-01,3.9,3.73708939526162
2019-01-01,4,3.79194680149325
2019-02-01,3.8,3.75782322064722
2019-03-01,3.8,3.82811151832075
2019-04-01,3.7,3.66514600365525
2019-05-01,3.6,3.66544716543676
2019-06-01,3.6,3.72569146165537
2019-07-01,3.7,3.68701293491758
2019-08-01,3.6,3.60414796952015
2019-09-01,3.5,3.62821777638183
2019-10-01,3.6,3.64223210987879
2019-11-01,3.6,3.71395787410832
2019-12-01,3.6,3.71746274734332
2020-01-01,3.6,3.66327911332938
2020-02-01,3.5,3.68537954930894
2020-03-01,4.4,3.89026371546555
2020-04-01,14.8,17.4812080786295
2020-05-01,13.2,17.049268852891
2020-06-01,11,10.768266825974
2020-07-01,10.2,10.0484096995053
2020-08-01,8.4,9.03430362109023
2020-09-01,7.8,8.19950465040909
2020-10-01,6.9,7.32884718965889
2020-11-01,6.7,6.78903898001619
2020-12-01,6.7,7.20343415080824
2021-01-01,6.4,6.88641594333144
2021-02-01,6.2,6.55955845801962
2021-03-01,6.1,5.94889374699039
2021-04-01,6.1,5.35039538141746
2021-05-01,5.8,4.96829079462586
2021-06-01,5.9,4.71321026919572
2021-07-01,5.4,4.5741523969917
2021-08-01,5.1,4.34456284634846
2021-09-01,4.7,4.39254701064314
2021-10-01,4.5,4.05981312566325
2021-11-01,4.2,3.79735903201684
2021-12-01,3.9,3.55077292963129
2022-01-01,4,3.54497325931001
2022-02-01,3.8,3.54931882804954
2022-03-01,3.7,3.30508698767932
2022-04-01,3.7,3.22086510541067
2022-05-01,3.6,3.26362617378224
2022-06-01,3.6,3.31611145066602
2022-07-01,3.5,3.36502725036324
2022-08-01,3.6,3.37259367441326
2022-09-01,3.5,3.35258090641937
2022-10-01,3.6,3.37059435606137
2022-11-01,3.6,3.50293641776189
2022-12-01,3.5,3.46805846831466
2023-01-01,3.5,3.45685567875539
2023-02-01,3.6,3.46140404678524
2023-03-01,3.5,3.56686984400274
2023-04-01,3.4,3.64721837286235
2023-05-01,3.6,3.676073640762
2023-06-01,3.6,3.74541230842866
2023-07-01,3.5,3.71329092409622
2023-08-01,3.7,3.83826812053665
2023-09-01,3.8,3.79223233952676
2023-10-01,3.9,3.78808668062295
2023-11-01,3.7,3.90506118002957
2023-12-01,3.8,3.79752576886111
2024-01-01,3.7,3.65627104918016
2024-02-01,3.9,3.75720463289968
2024-03-01,3.9,3.82457019325982
2024-04-01,3.9,3.83365722272147
2024-05-01,4,3.89161344264812
2024-06-01,4.1,4.06046292980509
2024-07-01,4.2,4.09996626230996
2024-08-01,4.2,4.17685408794659
2024-09-01,4.1,4.19056102076722
2024-10-01,4.1,4.19615665447446
2024-11-01,4.2,4.10359180689182
2024-12-01,4.1,4.10571211965334
2025-01-01,4,4.0704691354403
2025-02-01,4.1,4.06117279501791
2025-03-01,4.2,4.09826763725647
2025-04-01,4.2,4.11029588497685
2025-05-01,4.2,4.21873024651601
2025-06-01,4.1,4.28694763273303
2025-07-01,4.2,4.27865138687429
2025-08-01,4.3,4.34150054201705
2025-09-01,NA,4.37945430130445
2025-10-01,NA,4.42289360664477
